,Player,Total Return Points,Return Points Won (%),Total 1st Serve Return Points,Return Points Won Against 1st Serve (%),Deuce Court Total 1st Serve Returns,Deuce Court 1st Serve Return Win (%),Ad Court Total 1st Serve Returns,Ad Court 1st Serve Return Win (%),FH 1st Serve Returns Total,FH 1st Serve Returns Win %,FH 1st Serve Returns In Play (%),FH Returns Long (%),FH Returns Net (%),FH Returns Wide (%),FH Returns Deep (%),FH Returns Long % (1st Serve),FH Returns Net % (1st Serve),FH Returns Wide % (1st Serve),FH Returns Deep % (1st Serve),BH 1st Serve Returns Total,BH 1st Serve Returns Win %,BH Returns Long % (1st Serve),BH Returns Net % (1st Serve),BH Returns Wide % (1st Serve),BH Returns Deep % (1st Serve),2nd Serve Returns Total,2nd Serve Returns Win %,FH 2nd Serve Returns Total,FH 2nd Serve Returns Win %,FH Returns Long % (2nd Serve),FH Returns Net % (2nd Serve),FH Returns Wide % (2nd Serve),FH Returns Deep % (2nd Serve),BH 2nd Serve Returns Total,BH 2nd Serve Returns Win %,BH Returns Long % (2nd Serve),BH Returns Net % (2nd Serve),BH Returns Wide % (2nd Serve),BH Returns Deep % (2nd Serve),Total Break Point Chances,Break Points Converted,Break Point Conversion %
0,Ben Mitchell,313,46.01,201,35.82,93,37.63,108,34.26,75,32.0,80.0,6.25,6.25,2.68,33.93,8.0,8.0,4.0,25.33,121,39.67,1.65,2.48,4.96,33.06,93,56.99,37,56.76,2.7,2.7,0.0,51.35,56,57.14,8.93,0.0,3.57,57.14,51,22,43.14
1,Leila Epstein,374,51.07,232,46.12,119,43.7,113,48.67,142,49.3,85.21,5.67,6.88,2.83,42.51,5.63,6.34,2.82,40.14,86,43.02,10.47,10.47,8.14,40.7,117,50.43,105,52.38,5.71,7.62,2.86,45.71,12,33.33,8.33,8.33,0.0,25.0,57,32,56.14
2,Lane Durkin,195,55.9,125,48.0,62,51.61,63,44.44,66,46.97,75.76,5.61,10.28,3.74,36.45,7.58,15.15,1.52,33.33,56,51.79,5.36,3.57,1.79,48.21,55,61.82,41,58.54,2.44,2.44,7.32,41.46,14,71.43,7.14,7.14,7.14,28.57,36,23,63.89
3,Jan Hrazdil,102,50.0,57,43.86,32,43.75,25,44.0,34,44.12,64.71,10.34,10.34,6.9,32.76,11.76,11.76,8.82,26.47,22,45.45,9.09,4.55,0.0,45.45,41,53.66,24,54.17,8.33,8.33,4.17,41.67,17,52.94,11.76,0.0,5.88,58.82,13,7,53.85
4,Sarah Youngberg,194,59.28,106,55.66,46,50.0,60,60.0,40,50.0,87.5,3.41,6.82,2.27,43.18,0.0,12.5,0.0,30.0,64,60.94,3.12,4.69,1.56,34.38,73,56.16,48,56.25,6.25,2.08,4.17,54.17,25,56.0,4.0,4.0,0.0,28.0,37,24,64.86
5,Chase Kasday,123,41.46,97,44.33,47,34.04,50,54.0,47,40.43,85.11,7.46,7.46,2.99,44.78,8.51,6.38,0.0,46.81,50,48.0,8.0,10.0,2.0,40.0,25,28.0,20,35.0,5.0,10.0,10.0,40.0,5,0.0,0.0,0.0,0.0,60.0,15,8,53.33
6,Alexander Bernard,169,50.89,106,39.62,60,45.0,46,32.61,47,40.43,87.23,5.81,1.16,2.33,43.02,8.51,2.13,2.13,40.43,58,39.66,0.0,8.62,3.45,36.21,58,67.24,39,66.67,2.56,0.0,2.56,46.15,19,68.42,0.0,0.0,0.0,57.89,29,14,48.28
7,Patrick Kypson,70,38.57,37,18.92,16,12.5,21,23.81,17,17.65,58.82,20.0,10.0,0.0,33.33,17.65,17.65,0.0,35.29,15,26.67,13.33,13.33,0.0,33.33,31,58.06,13,61.54,23.08,0.0,0.0,30.77,18,55.56,5.56,0.0,5.56,44.44,7,2,28.57
8,Carlos Alcaraz Garfia,128,34.38,73,32.88,35,28.57,38,36.84,41,29.27,63.41,18.57,11.43,5.71,28.57,17.07,14.63,4.88,31.71,29,41.38,20.69,10.34,6.9,20.69,50,30.0,29,31.03,20.69,6.9,6.9,24.14,21,28.57,4.76,0.0,4.76,38.1,10,4,40.0
9,Jackie Soloveychik,51,64.71,36,58.33,19,57.89,17,58.82,10,60.0,100.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,60.0,26,57.69,3.85,7.69,3.85,61.54,12,75.0,0,0.0,0.0,0.0,0.0,0.0,12,75.0,8.33,0.0,0.0,33.33,9,7,77.78
10,JT Bilski,287,45.99,186,38.71,96,37.5,90,40.0,76,40.79,81.58,5.19,6.67,2.22,34.07,5.26,9.21,2.63,30.26,94,43.62,3.19,7.45,3.19,29.79,85,51.76,59,57.63,5.08,3.39,1.69,38.98,26,38.46,3.85,7.69,3.85,34.62,48,19,39.58
11,Max Lustgarten,134,38.81,94,29.79,51,27.45,43,32.56,51,29.41,68.63,9.52,10.71,3.57,35.71,11.76,13.73,5.88,31.37,38,34.21,7.89,2.63,5.26,42.11,35,54.29,33,54.55,6.06,6.06,0.0,42.42,2,50.0,0.0,0.0,0.0,50.0,14,5,35.71
12,Harrison Collomb,217,36.41,155,31.61,81,27.16,74,36.49,56,23.21,69.64,7.29,19.79,1.04,26.04,7.14,21.43,0.0,23.21,91,39.56,7.69,4.4,0.0,34.07,51,37.25,40,40.0,7.5,17.5,2.5,30.0,11,27.27,0.0,0.0,9.09,63.64,26,9,34.62
13,Nicolas Kotzen,58,50.0,31,48.39,15,46.67,16,50.0,17,58.82,82.35,10.34,0.0,3.45,51.72,11.76,0.0,0.0,64.71,12,41.67,8.33,8.33,0.0,33.33,27,51.85,12,50.0,8.33,0.0,8.33,33.33,14,57.14,14.29,7.14,0.0,35.71,12,4,33.33
14,Brett Keeling,256,45.7,177,42.37,89,43.82,88,40.91,96,41.67,84.38,6.3,5.51,2.36,45.67,6.25,6.25,3.12,45.83,73,47.95,8.22,2.74,4.11,38.36,64,42.19,31,41.94,6.45,3.23,0.0,45.16,33,42.42,6.06,3.03,0.0,48.48,42,20,47.62
15,Michael Zheng,164,41.46,110,36.36,62,38.71,48,33.33,47,42.55,74.47,4.23,4.23,7.04,45.07,6.38,6.38,10.64,44.68,53,37.74,9.43,13.21,5.66,22.64,49,46.94,24,41.67,0.0,0.0,0.0,45.83,25,52.0,4.0,8.0,8.0,40.0,24,9,37.5
16,Alexandra Burnett,60,50.0,34,47.06,17,58.82,17,35.29,23,47.83,78.26,15.91,2.27,2.27,56.82,17.39,4.35,0.0,56.52,11,45.45,27.27,0.0,0.0,54.55,22,45.45,21,47.62,14.29,0.0,4.76,57.14,1,0.0,0.0,0.0,0.0,0.0,8,5,62.5
17,Caitlyn Ferrante,52,50.0,39,51.28,21,52.38,18,50.0,15,60.0,86.67,9.09,13.64,0.0,45.45,6.67,6.67,0.0,60.0,24,45.83,8.33,0.0,4.17,41.67,12,41.67,7,28.57,14.29,28.57,0.0,14.29,5,60.0,0.0,0.0,20.0,20.0,11,5,45.45
18,Eudice Chong,549,42.81,363,36.64,190,40.53,173,32.37,151,41.06,85.43,8.04,3.57,2.23,37.95,6.62,3.31,3.31,40.4,199,35.68,11.06,5.03,3.52,39.7,160,48.12,73,54.79,10.96,4.11,0.0,32.88,86,43.02,6.98,6.98,4.65,44.19,68,28,41.18
