,total points,serve points,return points,1st serves in,Overall 1st Serve % in,1st Serve % Deuce in,1st Serve % Ad in,1st serve points won,% all serves won,% 1st serves won,% 1st pts won deuce ,1st pts won ad %,aces,1st serve faults,1st serve attempts,fault long,% fault long,fault net,% fault net,fault wide,% fault wide,1st serve returned in play,% 1st serve returned in play,1st serve returned in play deuce,% 1st serve returned in play deuce,1st serve returned in play ad,% 1st serve returned in play ad,2nd serve points total,2nd serve points won,2nd serve win percentage,2nd serve win percentage deuce,2nd serve win percentage ad,total double faults,2nd serve returned in play,% 2nd serve returned in play,serve games won,serve games lost,serve game win percentage,break points saved,break points lost,break point save percentage
Brett Keeling,489,233,256,114,48.93,42.98,55.36,79,58.8,69.3,63.27,70.69,8,119,114,60,52.63,46,40.35,13,11.4,80,74.77,39,79.59,41,70.69,119,58,48.74,62.71,46.67,15.0,82,79.61,30,14,68.18,8,14,36.36
Harrison Collomb,435,218,217,144,66.06,63.48,68.93,88,57.34,61.11,60.29,56.72,10,74,144,43,29.86,27,18.75,4,2.78,111,82.22,57,83.82,54,80.6,74,37,50.0,51.43,63.33,9.0,51,79.69,24,12,66.67,22,12,64.71
JT Bilski,572,285,287,177,62.11,56.85,67.63,116,57.54,65.54,67.09,61.96,6,108,177,48,27.12,53,29.94,7,3.95,135,78.95,60,75.95,75,81.52,108,48,44.44,50.94,50.0,13.0,81,85.26,31,18,63.27,24,18,57.14
Lane Durkin,363,168,195,118,70.24,70.33,70.13,87,67.26,73.73,80.65,64.15,3,50,118,17,14.41,28,23.73,5,4.24,88,76.52,43,69.35,45,84.91,50,26,52.0,77.27,60.0,13.0,28,75.68,25,6,80.65,11,6,64.71
Ben Mitchell,601,288,313,160,55.56,55.03,56.12,114,57.64,71.25,70.51,69.33,8,128,160,60,37.5,60,37.5,8,5.0,109,71.24,58,74.36,51,68.0,128,52,40.62,51.79,51.11,27.0,82,82.0,31,21,59.62,18,20,47.37
Alexander Bernard,326,157,169,103,65.61,63.53,68.06,73,67.52,70.87,72.22,68.09,2,54,103,19,18.45,28,27.18,7,6.8,86,85.15,49,90.74,37,78.72,54,33,61.11,62.07,78.95,6.0,42,87.5,25,4,86.21,9,4,69.23
Michael Zheng,322,158,164,92,58.23,56.79,59.74,65,63.92,70.65,74.42,63.64,5,66,92,21,22.83,36,39.13,9,9.78,65,74.71,33,76.74,32,72.73,66,36,54.55,48.48,64.52,2.0,56,87.5,22,5,81.48,14,5,73.68
Alexandra Burnett,125,65,60,33,50.77,52.94,48.39,22,58.46,66.67,70.59,60.0,1,32,33,19,57.58,12,36.36,1,3.03,25,78.12,13,76.47,12,80.0,32,16,50.0,40.0,66.67,2.0,25,83.33,8,3,72.73,4,3,57.14
Leila Epstein,749,375,374,267,71.2,74.36,67.78,159,55.47,59.55,58.87,57.26,9,108,267,55,20.6,46,17.23,7,2.62,204,79.07,113,80.14,91,77.78,108,49,45.37,58.14,48.98,16.0,79,85.87,39,23,62.9,28,22,56.0
Eudice Chong,1104,555,549,411,74.05,73.78,74.35,245,57.66,59.61,54.95,61.54,14,144,411,61,14.84,67,16.3,16,3.89,322,81.11,161,79.7,161,82.56,144,75,52.08,56.92,61.29,17.0,108,85.04,54,30,64.29,41,30,57.75
